,marketCap,trailingPE,priceToBook,debtToEquity,returnOnEquity,beta,pe_z,pb_z,de_z,health_score
GOOGL,3038935777280.0,26.804697,8.376747,11.481,0.34829,1.011,-1.2625434096710293,-0.7433508191157423,-0.6688703554458286,3.0230545842325998
AMZN,2496119701504.0,35.732822,7.4750085,47.808,0.2477,1.309,-0.1702566205398599,-0.7846003304246403,-0.06024742124046784,1.262804372204968
MSFT,3783780990976.0,37.31965,11.017228,32.661,0.33280998,1.04,0.023879467499167348,-0.6225635278218358,-0.31402041610402937,1.2455144564266978
NVDA,4257803665408.0,49.68182,42.518845,10.584,1.09417,2.102,1.5362950055873628,0.8184599026849844,-0.6838987027352333,-0.5766862055371136
AAPL,3534241136640.0,36.083332,53.74633,154.486,1.49814,1.109,-0.12737444287563968,1.3320547746772338,1.7270368955255593,-1.4335772273271534
