,health_score,beta,momentum_90,health_score_z,beta_z,momentum_90_z,composite,recommendation
GOOGL,3.0230545842325998,1.2049481267748456,0.6626301642728931,1.3281457826204148,-0.5543039554751442,1.444603175552293,3.327052913647852,buy
MSFT,1.2455144564266978,1.1294273266179444,0.17875361756980856,0.3100332909448627,-0.7383599145599707,-0.8533978207821781,0.19499538472265543,hold
AMZN,1.262804372204968,1.455598212012691,0.2402628092035295,0.3199363468357041,0.056569363362823394,-0.5612816092792625,-0.29791462580638184,hold
AAPL,-1.4335772273271534,1.2383422821364403,0.2164735326131222,-1.2244562358489455,-0.4729171947398723,-0.6742603880180004,-1.4257994291270737,hold
NVDA,-0.5766862055371136,2.133619006357701,0.49412274975918047,-0.7336591845520365,1.7090117014121633,0.6443366425271475,-1.7983342434370524,sell
